"","name","friendlyName","dimensions","friendlyName_with_dimensions"
"144","netdata:XSMFRj26ES:EDv743y5Y9:ECpLuCvjcP_system_interrupts_interrupts_persec_average{chart='system.interrupts',dimension='timer_0',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}","System interrupts (system.interrupts)","{chart='system.interrupts',dimension='timer_0',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}","System interrupts (system.interrupts){chart='system.interrupts',dimension='timer_0',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}"
"145","netdata:XSMFRj26ES:EDv743y5Y9:ECpLuCvjcP_system_interrupts_interrupts_persec_average{chart='system.interrupts',dimension='ttyS0_4',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}","System interrupts (system.interrupts)","{chart='system.interrupts',dimension='ttyS0_4',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}","System interrupts (system.interrupts){chart='system.interrupts',dimension='ttyS0_4',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}"
"146","netdata:XSMFRj26ES:EDv743y5Y9:ECpLuCvjcP_system_interrupts_interrupts_persec_average{chart='system.interrupts',dimension='virtio0-config_24',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}","System interrupts (system.interrupts)","{chart='system.interrupts',dimension='virtio0-config_24',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}","System interrupts (system.interrupts){chart='system.interrupts',dimension='virtio0-config_24',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}"
"147","netdata:XSMFRj26ES:EDv743y5Y9:ECpLuCvjcP_system_interrupts_interrupts_persec_average{chart='system.interrupts',dimension='virtio0-req.0_25',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}","System interrupts (system.interrupts)","{chart='system.interrupts',dimension='virtio0-req.0_25',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}","System interrupts (system.interrupts){chart='system.interrupts',dimension='virtio0-req.0_25',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}"
"148","netdata:XSMFRj26ES:EDv743y5Y9:ECpLuCvjcP_system_interrupts_interrupts_persec_average{chart='system.interrupts',dimension='virtio1_10',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}","System interrupts (system.interrupts)","{chart='system.interrupts',dimension='virtio1_10',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}","System interrupts (system.interrupts){chart='system.interrupts',dimension='virtio1_10',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}"
"149","netdata:XSMFRj26ES:EDv743y5Y9:ECpLuCvjcP_system_io_kilobytes_persec_average{chart='system.io',dimension='in',family='disk',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}","Disk I/O (system.io)","{chart='system.io',dimension='in',family='disk',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}","Disk I/O (system.io){chart='system.io',dimension='in',family='disk',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}"
"150","netdata:XSMFRj26ES:EDv743y5Y9:ECpLuCvjcP_system_io_kilobytes_persec_average{chart='system.io',dimension='out',family='disk',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}","Disk I/O (system.io)","{chart='system.io',dimension='out',family='disk',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}","Disk I/O (system.io){chart='system.io',dimension='out',family='disk',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}"
"151","netdata:XSMFRj26ES:EDv743y5Y9:ECpLuCvjcP_system_cpu_percentage_average{chart='system.cpu',dimension='guest',family='cpu',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}","Total CPU utilization (system.cpu)","{chart='system.cpu',dimension='guest',family='cpu',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}","Total CPU utilization (system.cpu){chart='system.cpu',dimension='guest',family='cpu',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}"
"152","netdata:XSMFRj26ES:EDv743y5Y9:ECpLuCvjcP_system_cpu_percentage_average{chart='system.cpu',dimension='guest_nice',family='cpu',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}","Total CPU utilization (system.cpu)","{chart='system.cpu',dimension='guest_nice',family='cpu',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}","Total CPU utilization (system.cpu){chart='system.cpu',dimension='guest_nice',family='cpu',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}"
"153","netdata:XSMFRj26ES:EDv743y5Y9:ECpLuCvjcP_system_cpu_percentage_average{chart='system.cpu',dimension='idle',family='cpu',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}","Total CPU utilization (system.cpu)","{chart='system.cpu',dimension='idle',family='cpu',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}","Total CPU utilization (system.cpu){chart='system.cpu',dimension='idle',family='cpu',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}"
