"","metric_number","friendlyName_with_dimensions"
"109","m_109","netdata:FJBxy1EZ0H:aMPWuy3r7X:iPGg838Ds5_system_cpu_percentage_average{chart='system.cpu',dimension='iowait',family='cpu',instance='[fc8d:73d3:10ee:d1b3:539e:817a:5366:7ea9]:19999',job='netdata'}"
"110","m_110","netdata:FJBxy1EZ0H:aMPWuy3r7X:iPGg838Ds5_system_cpu_percentage_average{chart='system.cpu',dimension='nice',family='cpu',instance='[fc8d:73d3:10ee:d1b3:539e:817a:5366:7ea9]:19999',job='netdata'}"
"111","m_111","netdata:FJBxy1EZ0H:aMPWuy3r7X:iPGg838Ds5_system_cpu_percentage_average{chart='system.cpu',dimension='softirq',family='cpu',instance='[fc8d:73d3:10ee:d1b3:539e:817a:5366:7ea9]:19999',job='netdata'}"
"112","m_112","netdata:FJBxy1EZ0H:aMPWuy3r7X:iPGg838Ds5_system_cpu_percentage_average{chart='system.cpu',dimension='steal',family='cpu',instance='[fc8d:73d3:10ee:d1b3:539e:817a:5366:7ea9]:19999',job='netdata'}"
"113","m_113","netdata:FJBxy1EZ0H:aMPWuy3r7X:iPGg838Ds5_system_cpu_percentage_average{chart='system.cpu',dimension='system',family='cpu',instance='[fc8d:73d3:10ee:d1b3:539e:817a:5366:7ea9]:19999',job='netdata'}"
"114","m_114","netdata:FJBxy1EZ0H:aMPWuy3r7X:iPGg838Ds5_system_cpu_percentage_average{chart='system.cpu',dimension='user',family='cpu',instance='[fc8d:73d3:10ee:d1b3:539e:817a:5366:7ea9]:19999',job='netdata'}"
"115","m_115","netdata:FJBxy1EZ0H:aMPWuy3r7X:iPGg838Ds5_system_ram_MB_average{chart='system.ram',dimension='buffers',family='ram',instance='[fc8d:73d3:10ee:d1b3:539e:817a:5366:7ea9]:19999',job='netdata'}"
"116","m_116","netdata:FJBxy1EZ0H:aMPWuy3r7X:iPGg838Ds5_system_ram_MB_average{chart='system.ram',dimension='cached',family='ram',instance='[fc8d:73d3:10ee:d1b3:539e:817a:5366:7ea9]:19999',job='netdata'}"
"117","m_117","netdata:FJBxy1EZ0H:aMPWuy3r7X:iPGg838Ds5_system_ram_MB_average{chart='system.ram',dimension='free',family='ram',instance='[fc8d:73d3:10ee:d1b3:539e:817a:5366:7ea9]:19999',job='netdata'}"
"118","m_118","netdata:FJBxy1EZ0H:aMPWuy3r7X:iPGg838Ds5_system_ram_MB_average{chart='system.ram',dimension='used',family='ram',instance='[fc8d:73d3:10ee:d1b3:539e:817a:5366:7ea9]:19999',job='netdata'}"
"119","m_119","netdata:FJBxy1EZ0H:aMPWuy3r7X:iPGg838Ds5_mem_available_MB_average{chart='mem.available',dimension='avail',family='system',instance='[fc8d:73d3:10ee:d1b3:539e:817a:5366:7ea9]:19999',job='netdata'}"
"120","m_120","netdata:FJBxy1EZ0H:aMPWuy3r7X:iPGg838Ds5_groups_cpu_cpu_time___average{chart='groups.cpu',dimension='netdata',family='cpu',instance='[fc8d:73d3:10ee:d1b3:539e:817a:5366:7ea9]:19999',job='netdata'}"
"121","m_121","netdata:FJBxy1EZ0H:aMPWuy3r7X:iPGg838Ds5_groups_cpu_cpu_time___average{chart='groups.cpu',dimension='nogroup',family='cpu',instance='[fc8d:73d3:10ee:d1b3:539e:817a:5366:7ea9]:19999',job='netdata'}"
"122","m_122","netdata:FJBxy1EZ0H:aMPWuy3r7X:iPGg838Ds5_groups_cpu_cpu_time___average{chart='groups.cpu',dimension='root',family='cpu',instance='[fc8d:73d3:10ee:d1b3:539e:817a:5366:7ea9]:19999',job='netdata'}"
"123","m_123","netdata:FJBxy1EZ0H:aMPWuy3r7X:iPGg838Ds5_net_packets_packets_persec_average{chart='net_packets.docker0',dimension='received',family='docker0',instance='[fc8d:73d3:10ee:d1b3:539e:817a:5366:7ea9]:19999',job='netdata'}"
"124","m_124","netdata:FJBxy1EZ0H:aMPWuy3r7X:iPGg838Ds5_net_packets_packets_persec_average{chart='net_packets.docker0',dimension='sent',family='docker0',instance='[fc8d:73d3:10ee:d1b3:539e:817a:5366:7ea9]:19999',job='netdata'}"
"125","m_125","netdata:FJBxy1EZ0H:aMPWuy3r7X:iPGg838Ds5_net_packets_packets_persec_average{chart='net_packets.ens3',dimension='received',family='ens3',instance='[fc8d:73d3:10ee:d1b3:539e:817a:5366:7ea9]:19999',job='netdata'}"
"126","m_126","netdata:FJBxy1EZ0H:aMPWuy3r7X:iPGg838Ds5_net_packets_packets_persec_average{chart='net_packets.ens3',dimension='sent',family='ens3',instance='[fc8d:73d3:10ee:d1b3:539e:817a:5366:7ea9]:19999',job='netdata'}"
"127","m_127","netdata:FJBxy1EZ0H:aMPWuy3r7X:iPGg838Ds5_net_packets_packets_persec_average{chart='net_packets.tun0',dimension='received',family='tun0',instance='[fc8d:73d3:10ee:d1b3:539e:817a:5366:7ea9]:19999',job='netdata'}"
"128","m_128","netdata:FJBxy1EZ0H:aMPWuy3r7X:iPGg838Ds5_net_packets_packets_persec_average{chart='net_packets.tun0',dimension='sent',family='tun0',instance='[fc8d:73d3:10ee:d1b3:539e:817a:5366:7ea9]:19999',job='netdata'}"
"129","m_129","netdata:FJBxy1EZ0H:aMPWuy3r7X:iPGg838Ds5_system_interrupts_interrupts_persec_average{chart='system.interrupts',dimension='LOC',family='interrupts',instance='[fc8d:73d3:10ee:d1b3:539e:817a:5366:7ea9]:19999',job='netdata'}"
"130","m_130","netdata:FJBxy1EZ0H:aMPWuy3r7X:iPGg838Ds5_system_interrupts_interrupts_persec_average{chart='system.interrupts',dimension='MCP',family='interrupts',instance='[fc8d:73d3:10ee:d1b3:539e:817a:5366:7ea9]:19999',job='netdata'}"
"131","m_131","netdata:FJBxy1EZ0H:aMPWuy3r7X:iPGg838Ds5_system_interrupts_interrupts_persec_average{chart='system.interrupts',dimension='ens3_11',family='interrupts',instance='[fc8d:73d3:10ee:d1b3:539e:817a:5366:7ea9]:19999',job='netdata'}"
"132","m_132","netdata:FJBxy1EZ0H:aMPWuy3r7X:iPGg838Ds5_system_interrupts_interrupts_persec_average{chart='system.interrupts',dimension='virtio0-req.0_25',family='interrupts',instance='[fc8d:73d3:10ee:d1b3:539e:817a:5366:7ea9]:19999',job='netdata'}"
"133","m_133","netdata:FJBxy1EZ0H:aMPWuy3r7X:iPGg838Ds5_system_softirqs_softirqs_persec_average{chart='system.softirqs',dimension='NET_RX',family='softirqs',instance='[fc8d:73d3:10ee:d1b3:539e:817a:5366:7ea9]:19999',job='netdata'}"
"134","m_134","netdata:FJBxy1EZ0H:aMPWuy3r7X:iPGg838Ds5_system_softirqs_softirqs_persec_average{chart='system.softirqs',dimension='NET_TX',family='softirqs',instance='[fc8d:73d3:10ee:d1b3:539e:817a:5366:7ea9]:19999',job='netdata'}"
"135","m_135","netdata:FJBxy1EZ0H:aMPWuy3r7X:iPGg838Ds5_system_softirqs_softirqs_persec_average{chart='system.softirqs',dimension='RCU',family='softirqs',instance='[fc8d:73d3:10ee:d1b3:539e:817a:5366:7ea9]:19999',job='netdata'}"
"136","m_136","netdata:FJBxy1EZ0H:aMPWuy3r7X:iPGg838Ds5_system_softirqs_softirqs_persec_average{chart='system.softirqs',dimension='TIMER',family='softirqs',instance='[fc8d:73d3:10ee:d1b3:539e:817a:5366:7ea9]:19999',job='netdata'}"
"137","m_137","netdata:FJBxy1EZ0H:aMPWuy3r7X:iPGg838Ds5_system_load_load_average{chart='system.load',dimension='load1',family='load',instance='[fc8d:73d3:10ee:d1b3:539e:817a:5366:7ea9]:19999',job='netdata'}"
"138","m_138","netdata:FJBxy1EZ0H:aMPWuy3r7X:iPGg838Ds5_system_load_load_average{chart='system.load',dimension='load15',family='load',instance='[fc8d:73d3:10ee:d1b3:539e:817a:5366:7ea9]:19999',job='netdata'}"
"139","m_139","netdata:FJBxy1EZ0H:aMPWuy3r7X:iPGg838Ds5_system_load_load_average{chart='system.load',dimension='load5',family='load',instance='[fc8d:73d3:10ee:d1b3:539e:817a:5366:7ea9]:19999',job='netdata'}"
"140","m_140","netdata:FJBxy1EZ0H:aMPWuy3r7X:iPGg838Ds5_system_ipv4_kilobits_persec_average{chart='system.ipv4',dimension='received',family='network',instance='[fc8d:73d3:10ee:d1b3:539e:817a:5366:7ea9]:19999',job='netdata'}"
"141","m_141","netdata:FJBxy1EZ0H:aMPWuy3r7X:iPGg838Ds5_system_ipv4_kilobits_persec_average{chart='system.ipv4',dimension='sent',family='network',instance='[fc8d:73d3:10ee:d1b3:539e:817a:5366:7ea9]:19999',job='netdata'}"
