"","name","friendlyName","dimensions","friendlyName_with_dimensions"
"42","netdata:jmSRafpAkY:Gi2E9NYbxy:X2eHHQdkBW_system_interrupts_interrupts_persec_average{chart='system.interrupts',dimension='PIN',family='interrupts',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}","System interrupts (system.interrupts)","{chart='system.interrupts',dimension='PIN',family='interrupts',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}","System interrupts (system.interrupts){chart='system.interrupts',dimension='PIN',family='interrupts',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}"
"43","netdata:jmSRafpAkY:Gi2E9NYbxy:X2eHHQdkBW_system_interrupts_interrupts_persec_average{chart='system.interrupts',dimension='PIW',family='interrupts',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}","System interrupts (system.interrupts)","{chart='system.interrupts',dimension='PIW',family='interrupts',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}","System interrupts (system.interrupts){chart='system.interrupts',dimension='PIW',family='interrupts',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}"
"44","netdata:jmSRafpAkY:Gi2E9NYbxy:X2eHHQdkBW_system_interrupts_interrupts_persec_average{chart='system.interrupts',dimension='PMI',family='interrupts',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}","System interrupts (system.interrupts)","{chart='system.interrupts',dimension='PMI',family='interrupts',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}","System interrupts (system.interrupts){chart='system.interrupts',dimension='PMI',family='interrupts',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}"
"45","netdata:jmSRafpAkY:Gi2E9NYbxy:X2eHHQdkBW_system_interrupts_interrupts_persec_average{chart='system.interrupts',dimension='RES',family='interrupts',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}","System interrupts (system.interrupts)","{chart='system.interrupts',dimension='RES',family='interrupts',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}","System interrupts (system.interrupts){chart='system.interrupts',dimension='RES',family='interrupts',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}"
"46","netdata:jmSRafpAkY:Gi2E9NYbxy:X2eHHQdkBW_system_interrupts_interrupts_persec_average{chart='system.interrupts',dimension='RTR',family='interrupts',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}","System interrupts (system.interrupts)","{chart='system.interrupts',dimension='RTR',family='interrupts',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}","System interrupts (system.interrupts){chart='system.interrupts',dimension='RTR',family='interrupts',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}"
"47","netdata:jmSRafpAkY:Gi2E9NYbxy:X2eHHQdkBW_system_interrupts_interrupts_persec_average{chart='system.interrupts',dimension='SPU',family='interrupts',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}","System interrupts (system.interrupts)","{chart='system.interrupts',dimension='SPU',family='interrupts',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}","System interrupts (system.interrupts){chart='system.interrupts',dimension='SPU',family='interrupts',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}"
"48","netdata:jmSRafpAkY:Gi2E9NYbxy:X2eHHQdkBW_system_interrupts_interrupts_persec_average{chart='system.interrupts',dimension='THR',family='interrupts',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}","System interrupts (system.interrupts)","{chart='system.interrupts',dimension='THR',family='interrupts',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}","System interrupts (system.interrupts){chart='system.interrupts',dimension='THR',family='interrupts',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}"
"49","netdata:jmSRafpAkY:Gi2E9NYbxy:X2eHHQdkBW_system_interrupts_interrupts_persec_average{chart='system.interrupts',dimension='TLB',family='interrupts',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}","System interrupts (system.interrupts)","{chart='system.interrupts',dimension='TLB',family='interrupts',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}","System interrupts (system.interrupts){chart='system.interrupts',dimension='TLB',family='interrupts',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}"
"50","netdata:jmSRafpAkY:Gi2E9NYbxy:X2eHHQdkBW_system_interrupts_interrupts_persec_average{chart='system.interrupts',dimension='TRM',family='interrupts',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}","System interrupts (system.interrupts)","{chart='system.interrupts',dimension='TRM',family='interrupts',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}","System interrupts (system.interrupts){chart='system.interrupts',dimension='TRM',family='interrupts',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}"
"51","netdata:jmSRafpAkY:Gi2E9NYbxy:X2eHHQdkBW_system_interrupts_interrupts_persec_average{chart='system.interrupts',dimension='acpi_9',family='interrupts',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}","System interrupts (system.interrupts)","{chart='system.interrupts',dimension='acpi_9',family='interrupts',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}","System interrupts (system.interrupts){chart='system.interrupts',dimension='acpi_9',family='interrupts',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}"
"52","netdata:jmSRafpAkY:Gi2E9NYbxy:X2eHHQdkBW_system_interrupts_interrupts_persec_average{chart='system.interrupts',dimension='ata_piix_14',family='interrupts',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}","System interrupts (system.interrupts)","{chart='system.interrupts',dimension='ata_piix_14',family='interrupts',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}","System interrupts (system.interrupts){chart='system.interrupts',dimension='ata_piix_14',family='interrupts',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}"
"53","netdata:jmSRafpAkY:Gi2E9NYbxy:X2eHHQdkBW_system_interrupts_interrupts_persec_average{chart='system.interrupts',dimension='ata_piix_15',family='interrupts',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}","System interrupts (system.interrupts)","{chart='system.interrupts',dimension='ata_piix_15',family='interrupts',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}","System interrupts (system.interrupts){chart='system.interrupts',dimension='ata_piix_15',family='interrupts',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}"
